verb,aspect,absolute_frequency,negated imperative,proportion_freq,,,
chodit,imperfective,30668,544,,,,
stát,imperfective,186673,60,,,,
používat,imperfective,26076,220,,,,
čekat,imperfective,48106,481,,,,
ptát,imperfective,17837,327,,,,
povídat,imperfective,9202,128,,,,
sledovat,imperfective,24404,6,,,,
doufat,imperfective,15105,17,,,,
dívat,imperfective,24625,168,,,,
chtít,imperfective,192455,247,,,,

promíchat,perfective,1852,0,,,,
vzpomenout,perfective,10548,0,,,,
smíchat,perfective,1978,0,,,,
napsat,perfective,22477,0,,,,
položit,perfective,14295,0,,,,
připomenout,perfective,9242,0,,,,
zeptat, perfective,38020,0,,,,
pomoci, perfective,38982,0,,,,
poslat, perfective,16527,0,,,,
zvolit, perfective,10417,0,,,,
