verb,aspect,absolute_frequency,negated imperative,proportion_freq
držet,imperfective,27491,24,
dělat,imperfective,78865,1556,
bát,imperfective,19287,2448,
věřit,imperfective,28787,295,
snažit,imperfective,49902,287,
říkat,imperfective,96714,1210,
poslouchat,imperfective,12335,94,
myslet,imperfective,81448,626,
dát,perfective,110888,297,
podívat,perfective,36090,1,
říci,perfective,177625,0,
zkusit,perfective,11930,0,
prominout,perfective,4132,0,
vzít,perfective,44823,0,
přidat,perfective,17519,0,
počkat,perfective,17888,0,
modlit,imperfective,3249,4,
kupovat,imperfective,4601,107,
hýbat,imperfective,3017,136,
šetřit,imperfective,3572,92,
řešit,imperfective,18207,113,
trápit,imperfective,5808,186,
táhnout,imperfective,7052,1,
chovat,imperfective,13524,32,
hlídat,imperfective,4316,2,
těšit,imperfective,13549,11,
naučit,perfective,14008,0,
ozdobit,perfective,1490,0,
zajít,perfective,6667,1,
vyjmout,perfective,1485,0,
dodat,perfective,21399,0,
sáhnout,perfective,5832,1,
vyhnout,perfective,6586,0,
navštívit,perfective,9023,0,
vsadit,perfective,3411,0,
rozmixovat,perfective,684,0,
chodit,imperfective,30668,544,
stát,imperfective,186673,60,
používat,imperfective,26076,220,
čekat,imperfective,48106,481,
ptát,imperfective,17837,327,
povídat,imperfective,9202,128,
sledovat,imperfective,24404,6,
doufat,imperfective,15105,17,
dívat,imperfective,24625,168,
chtít,imperfective,192455,247,
promíchat,perfective,1852,0,
vzpomenout,perfective,10548,0,
smíchat,perfective,1978,0,
napsat,perfective,22477,0,
položit,perfective,14295,0,
připomenout,perfective,9242,0,
zeptat,perfective,38020,0,
pomoci,perfective,38982,0,
poslat,perfective,16527,0,
zvolit,perfective,10417,0,
