"1";"nechat";"9 797";"80,417"
"2";"dát";"7 665";"62,917"
"3";"podívat";"6 176";"50,695"
"4";"říci";"5 808";"47,674"
"5";"zkusit";"3 912";"32,111"
"6";"prominout";"3 805";"31,233"
"7";"vzít";"3 444";"28,27"
"8";"přidat";"3 419";"28,064"
"9";"zapomenout";"3 347";"27,473"
"10";"počkat";"3 186";"26,152"
"11";"představit";"2 831";"23,238"
"12";"udělat";"1 874";"15,382"
"13";"vybrat";"1 813";"14,882"
"14";"vrátit";"1 748";"14,348"
"15";"kliknout";"1 732";"14,217"
"16";"nakrájet";"1 451";"11,91"
"17";"povědět";"1 420";"11,656"
"18";"přestat";"1 361";"11,172"
"19";"připravit";"1 311";"10,761"
"20";"začít";"1 300";"10,671"
"21";"dovolit";"1 154";"9,472"
"22";"přijít";"1 152";"9,456"
"23";"použít";"1 115";"9,152"
"24";"otevřít";"1 095";"8,988"
"25";"pustit";"1 047";"8,594"
"26";"zůstat";"1 025";"8,414"
"27";"ukázat";"983";"8,069"
"28";"vložit";"970";"7,962"
"29";"zavolat";"969";"7,954"
"30";"vyzkoušet";"935";"7,675"
"31";"promíchat";"933";"7,658"
"32";"vzpomenout";"927";"7,609"
"33";"smíchat";"908";"7,453"
"34";"napsat";"895";"7,346"
"35";"položit";"895";"7,346"
"36";"připomenout";"889";"7,297"
"37";"zeptat";"849";"6,969"
"38";"pomoci";"845";"6,936"
"39";"poslat";"843";"6,92"
"40";"zvolit";"825";"6,772"
"41";"osolit";"790";"6,485"
"42";"najít";"758";"6,222"
"43";"uvést";"745";"6,115"
"44";"posadit";"741";"6,082"
"45";"odpustit";"708";"5,812"
"46";"dopřát";"686";"5,631"
"47";"vmíchat";"648";"5,319"
"48";"pořídit";"615";"5,048"
"49";"zastavit";"608";"4,991"
"50";"zalít";"599";"4,917"
"51";"posypat";"585";"4,802"
"52";"přečíst";"584";"4,794"
"53";"zavřít";"581";"4,769"
"54";"všimnout";"570";"4,679"
"55";"rozdělit";"568";"4,662"
"56";"koupit";"567";"4,654"
"57";"využít";"559";"4,588"
"58";"kouknout";"555";"4,556"
"59";"sednout";"545";"4,474"
"60";"opepřit";"542";"4,449"
"61";"nalít";"528";"4,334"
"62";"uvědomit";"512";"4,203"
"63";"vytvořit";"512";"4,203"
"64";"postavit";"509";"4,178"
"65";"užít";"502";"4,121"
"66";"přinést";"495";"4,063"
"67";"oloupat";"486";"3,989"
"68";"uklidnit";"486";"3,989"
"69";"pokusit";"474";"3,891"
"70";"vypadnout";"474";"3,891"
"71";"zkontrolovat";"456";"3,743"
"72";"odstranit";"444";"3,645"
"73";"označit";"436";"3,579"
"74";"vysvětlit";"433";"3,554"
"75";"zbavit";"430";"3,53"
"76";"vydat";"428";"3,513"
"77";"přivést";"421";"3,456"
"78";"omýt";"412";"3,382"
"79";"nanést";"411";"3,374"
"80";"zjistit";"405";"3,324"
"81";"naučit";"401";"3,292"
"82";"ozdobit";"394";"3,234"
"83";"zajít";"391";"3,209"
"84";"vyjmout";"385";"3,16"
"85";"dodat";"383";"3,144"
"86";"sáhnout";"378";"3,103"
"87";"vyhnout";"372";"3,054"
"88";"navštívit";"370";"3,037"
"89";"vsadit";"369";"3,029"
"90";"rozmixovat";"364";"2,988"
"91";"klepnout";"364";"2,988"
"92";"přiznat";"360";"2,955"
"93";"nastavit";"356";"2,922"
"94";"přejít";"355";"2,914"
"95";"zaměřit";"352";"2,889"
"96";"vydržet";"346";"2,84"
"97";"zapsat";"345";"2,832"
"98";"vyřídit";"344";"2,824"
"99";"zamyslet";"344";"2,824"
"100";"obrátit";"343";"2,815"
"101";"rozehřát";"343";"2,815"
"102";"poslechnout";"342";"2,807"
"103";"uvařit";"336";"2,758"
"104";"rozložit";"328";"2,692"
"105";"doplnit";"320";"2,627"
"106";"odpovědět";"316";"2,594"
"107";"uložit";"314";"2,577"
"108";"zadat";"313";"2,569"
"109";"zvážit";"311";"2,553"
"110";"podat";"311";"2,553"
"111";"opéci";"306";"2,512"
"112";"zabalit";"305";"2,504"
"113";"seznámit";"301";"2,471"
"114";"pospíšit";"299";"2,454"
"115";"obléknout";"298";"2,446"
"116";"zvednout";"298";"2,446"
"117";"zaplatit";"296";"2,43"
"118";"otočit";"296";"2,43"
"119";"omluvit";"296";"2,43"
"120";"vyhledat";"294";"2,413"
"121";"očistit";"293";"2,405"
