"1";"jít";"9 610";"78,882"
"2";"vidět";"9 408";"77,224"
"3";"být";"5 405";"44,366"
"4";"dělat";"2 694";"22,113"
"5";"bát";"2 475";"20,316"
"6";"věřit";"2 314";"18,994"
"7";"běžet";"1 857";"15,243"
"8";"říkat";"1 742";"14,299"
"9";"mít";"1 686";"13,839"
"10";"poslouchat";"1 531";"12,567"
"11";"myslet";"1 343";"11,024"
"12";"držet";"1 246";"10,228"
"13";"snažit";"1 210";"9,932"
"14";"dávat";"1 204";"9,883"
"15";"mluvit";"1 149";"9,431"
"16";"brát";"1 087";"8,923"
"17";"slyšet";"1 056";"8,668"
"18";"pokračovat";"879";"7,215"
"19";"číst";"870";"7,141"
"20";"vítat";"866";"7,108"
"21";"podávat";"850";"6,977"
"22";"hledat";"847";"6,952"
"23";"psát";"836";"6,862"
"24";"péci";"820";"6,731"
"25";"pamatovat";"818";"6,714"
"26";"koukat";"816";"6,698"
"27";"zapomínat";"809";"6,641"
"28";"jet";"769";"6,312"
"29";"zlobit";"758";"6,222"
"30";"počítat";"758";"6,222"
"31";"vařit";"749";"6,148"
"32";"chodit";"705";"5,787"
"33";"stát";"700";"5,746"
"34";"používat";"681";"5,59"
"35";"čekat";"668";"5,483"
"36";"ptát";"654";"5,368"
"37";"povídat";"637";"5,229"
"38";"sledovat";"613";"5,032"
"39";"doufat";"609";"4,999"
"40";"dívat";"585";"4,802"
"41";"chtít";"490";"4,022"
"42";"vybírat";"484";"3,973"
"43";"jíst";"472";"3,874"
"44";"volit";"437";"3,587"
"45";"předpokládat";"429";"3,521"
"46";"vědět";"398";"3,267"
"47";"hrát";"364";"2,988"
"48";"přemýšlet";"363";"2,98"
"49";"posílat";"361";"2,963"
"50";"dbát";"357";"2,93"
"51";"chránit";"353";"2,898"
"52";"hádat";"347";"2,848"
"53";"pít";"337";"2,766"
"54";"mlčet";"327";"2,684"
"55";"opakovat";"326";"2,676"
"56";"smažit";"314";"2,577"
"57";"váhat";"297";"2,438"
"58";"vyprávět";"293";"2,405"
"59";"spát";"285";"2,339"
"60";"rozumět";"282";"2,315"
"61";"utíkat";"281";"2,307"
"62";"divit";"280";"2,298"
"63";"pozdravovat";"270";"2,216"
"64";"uvažovat";"270";"2,216"
"65";"volat";"262";"2,151"
"66";"všímat";"249";"2,044"
"67";"užívat";"249";"2,044"
"68";"podceňovat";"240";"1,97"
"69";"nechávat";"235";"1,929"
"70";"vstávat";"235";"1,929"
"71";"zkoušet";"222";"1,822"
"72";"žít";"221";"1,814"
"73";"milovat";"220";"1,806"
"74";"postupovat";"220";"1,806"
"75";"míchat";"219";"1,798"
"76";"hledět";"215";"1,765"
"77";"nosit";"210";"1,724"
"78";"starat";"209";"1,716"
"79";"ráčit";"208";"1,707"
"80";"dýchat";"207";"1,699"
"81";"pracovat";"206";"1,691"
"82";"modlit";"202";"1,658"
"83";"kupovat";"200";"1,642"
"84";"hýbat";"200";"1,642"
"85";"šetřit";"199";"1,633"
"86";"řešit";"192";"1,576"
"87";"trápit";"190";"1,56"
"88";"táhnout";"190";"1,56"
"89";"chovat";"189";"1,551"
"90";"hlídat";"186";"1,527"
"91";"těšit";"183";"1,502"
"92";"vyhýbat";"182";"1,494"
"93";"plakat";"180";"1,478"
"94";"udržovat";"178";"1,461"
"95";"začínat";"174";"1,428"
"96";"přidávat";"169";"1,387"
"97";"učit";"164";"1,346"
"98";"sahat";"163";"1,338"
"99";"bavit";"162";"1,33"
"100";"bláznit";"162";"1,33"
"101";"restovat";"160";"1,313"
"102";"vést";"156";"1,281"
"103";"dusit";"153";"1,256"
"104";"přehánět";"152";"1,248"
"105";"sedět";"152";"1,248"
"106";"přát";"148";"1,215"
"107";"žehnat";"146";"1,198"
"108";"dotýkat";"145";"1,19"
"109";"smát";"144";"1,182"
"110";"důvěřovat";"144";"1,182"
"111";"dodržovat";"143";"1,174"
"112";"pouštět";"143";"1,174"
"113";"bojovat";"143";"1,174"
"114";"opékat";"143";"1,174"
"115";"blbnout";"138";"1,133"
"116";"pokoušet";"137";"1,125"
"117";"vykládat";"136";"1,116"
"118";"zpívat";"135";"1,108"
"119";"spěchat";"134";"1,1"
"120";"pomáhat";"133";"1,092"
"121";"stydět";"132";"1,084"
"122";"plést";"132";"1,084"
"123";"vracet";"131";"1,075"
"124";"vzdávat";"130";"1,067"
"125";"hodit";"130";"1,067"
"126";"zasílat";"129";"1,059"
"127";"střílet";"128";"1,051"
"128";"naslouchat";"127";"1,042"
"129";"kontaktovat";"127";"1,042"
"130";"křičet";"126";"1,034"
"131";"chápat";"125";"1,026"
"132";"kontrolovat";"124";"1,018"
"133";"padat";"123";"1,01"
"134";"jednat";"122";"1,001"
"135";"jezdit";"122";"1,001"
"136";"radovat";"120";"0,985"
"137";"řídit";"119";"0,977"
"138";"prát";"117";"0,96"
"139";"tvářit";"116";"0,952"
"140";"kombinovat";"114";"0,936"
"141";"považovat";"114";"0,936"
"142";"tlačit";"113";"0,928"
"143";"nutit";"111";"0,911"
"144";"zalévat";"109";"0,895"
"145";"cvičit";"109";"0,895"
"146";"provádět";"108";"0,887"
"147";"zoufat";"108";"0,887"
"148";"lézt";"108";"0,887"
"149";"ztrácet";"105";"0,862"
"150";"vážit";"104";"0,854"
"151";"odcházet";"103";"0,845"
"152";"spoléhat";"103";"0,845"
"153";"odpočívat";"103";"0,845"
"154";"bránit";"102";"0,837"
"155";"vnímat";"102";"0,837"
"156";"představovat";"102";"0,837"
"157";"lámat";"100";"0,821"
"158";"zajímat";"98";"0,804"
"159";"měnit";"98";"0,804"
"160";"mazat";"97";"0,796"
"161";"očekávat";"96";"0,788"
"162";"sbírat";"96";"0,788"
"163";"srát";"95";"0,78"
"164";"nanášet";"95";"0,78"
"165";"sázet";"94";"0,772"
"166";"pozorovat";"94";"0,772"
"167";"prosit";"93";"0,763"
"168";"opatrovat";"93";"0,763"
"169";"následovat";"90";"0,739"
"170";"kecat";"90";"0,739"
"171";"lít";"89";"0,731"
"172";"ochraňovat";"88";"0,722"
"173";"přestávat";"88";"0,722"
"174";"přibližovat";"87";"0,714"
"175";"nakupovat";"84";"0,69"
"176";"šlehat";"84";"0,69"
"177";"skladovat";"83";"0,681"
"178";"letět";"83";"0,681"
"179";"mýt";"83";"0,681"
"180";"děkovat";"80";"0,657"
"181";"sdílet";"77";"0,632"
"182";"pochybovat";"77";"0,632"
"183";"zvedat";"77";"0,632"
"184";"žádat";"76";"0,624"
"185";"pokládat";"76";"0,624"
"186";"lhát";"75";"0,616"
"187";"grilovat";"75";"0,616"
"188";"otevírat";"75";"0,616"
"189";"odpovídat";"74";"0,607"
"190";"odkládat";"74";"0,607"
"191";"aktivovat";"73";"0,599"
"192";"zabíjet";"72";"0,591"
"193";"běhat";"72";"0,591"
"194";"tvořit";"72";"0,591"
"195";"opouštět";"72";"0,591"
"196";"usmívat";"71";"0,583"
"197";"brečet";"71";"0,583"
"198";"využívat";"71";"0,583"
"199";"respektovat";"70";"0,575"
"200";"měřit";"69";"0,566"
"201";"pečovat";"68";"0,558"
"202";"soudit";"68";"0,558"
"203";"zdržovat";"68";"0,558"
"204";"dít";"66";"0,542"
"205";"pálit";"66";"0,542"
"206";"rozčilovat";"66";"0,542"
"207";"tahat";"64";"0,525"
"208";"vysazovat";"64";"0,525"
"209";"kouřit";"64";"0,525"
"210";"mixovat";"64";"0,525"
"211";"odstraňovat";"64";"0,525"
"212";"hlásit";"63";"0,517"
"213";"zahřívat";"62";"0,509"
"214";"vyhazovat";"62";"0,509"
"215";"vycházet";"61";"0,501"
"216";"stříci";"61";"0,501"
"217";"kašlat";"61";"0,501"
"218";"uchovávat";"60";"0,493"
"219";"líbat";"60";"0,493"
